                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.61065,                 0.6594,                0.45139,                0.89106,                0.84457,                0.85869,                0.90188,                0.74347,                0.84621,                0.86279,                0.90704,                0.71394,                0.69439,                0.79827,                0.60425,                0.94504,              0.0005797,              0.0005797,              0.0005797
                     41,                0.62483,                0.69245,                0.47561,                0.90708,                0.90881,                0.87361,                0.92634,                0.78577,                0.91785,                0.88653,                0.93711,                0.74394,                0.67186,                 0.7798,                0.50783,                0.94914,             0.00057616,             0.00057616,             0.00057616
                     42,                0.62813,                0.70888,                 0.4378,                0.89446,                0.73301,                0.66948,                0.76958,                0.61295,                0.74145,                0.67846,                0.78706,                0.59731,                0.83582,                0.95545,                 1.0632,                 1.0366,             0.00057263,             0.00057263,             0.00057263
                     43,                0.61955,                0.67219,                0.42534,                0.88933,                0.89546,                0.81522,                0.89953,                0.75603,                0.90064,                0.81603,                0.90829,                0.70566,                 0.7201,                0.82514,                0.54862,                0.97303,             0.00056909,             0.00056909,             0.00056909
                     44,                 0.5941,                 0.6585,                0.44493,                0.89275,                0.90968,                0.84886,                0.92664,                0.76875,                0.92372,                0.86237,                0.93711,                  0.728,                0.67336,                0.74918,                0.56805,                0.95375,             0.00056556,             0.00056556,             0.00056556
                     45,                0.59966,                0.63728,                0.42372,                0.88435,                0.91331,                0.91429,                0.93357,                0.78033,                0.92151,                0.92258,                0.94188,                0.72967,                0.69565,                 0.8075,                0.49273,                0.96794,             0.00056203,             0.00056203,             0.00056203
                     46,                0.60804,                0.64636,                0.42729,                0.89766,                0.85875,                0.80978,                0.85754,                0.72636,                0.87304,                0.81365,                0.86599,                 0.6848,                0.69835,                 0.8156,                0.67503,                0.96182,             0.00055849,             0.00055849,             0.00055849
                     47,                0.56943,                0.61728,                0.40049,                0.87099,                  0.912,                0.90423,                0.93657,                0.78455,                0.92497,                0.91248,                0.94654,                0.72628,                0.69953,                0.80044,                0.49771,                0.96809,             0.00055496,             0.00055496,             0.00055496
                     48,                0.61745,                0.67797,                0.42108,                0.87731,                0.92107,                0.89313,                0.93932,                0.78187,                0.93574,                0.90325,                0.94924,                0.74682,                0.69226,                0.77782,                 0.4991,                0.95686,             0.00055142,             0.00055142,             0.00055142
                     49,                0.58648,                0.67423,                0.40885,                0.86856,                  0.884,                0.90931,                0.93523,                0.77493,                0.88763,                0.92237,                0.94683,                0.72849,                0.69499,                0.82408,                0.47852,                 0.9633,             0.00054789,             0.00054789,             0.00054789
                     50,                0.58877,                0.67058,                0.40089,                0.88269,                0.91254,                0.90703,                0.94094,                0.77844,                0.93228,                0.90891,                0.94919,                 0.7484,                0.70279,                0.80877,                 0.4595,                 0.9714,             0.00054435,             0.00054435,             0.00054435
